DATE,ALGERIA,ANGOLA,BENIN,BOTSWANA,BURKINAFASO,BURUNDI,CABOVERDE,CAMEROON,CAR,CHAD,COMOROS,CONGODR,CONGOREPUB,DJIBOUTI,EGYPT,EQGUINEA,ERITREA,ETHIOPIA,GABON,GAMBIA,GHANA,GUINEA,GUINEABISSAU,IVORYCOAST,KENYA,LESOTHO,LIBERIA,LIBYA,MADAGASCAR,MALAWI,MALI,MAURITANIA,MAURITIUS,MOROCCO,MOZAMBIQUE,NAMIBIA,NIGER,NIGERIA,RWANDA,SAOTOME,SENEGAL,SEYCHELLES,SIERRALEONE,SOMALIA,SOUTHAFRICA,SUDAN,TANZANIA,TOGO,TUNISIA,UGANDA,ZAMBIA,ZIMBABWE
1976,204.8712049,152.1285165,144.1628186,573.0189113,167.7913065,170.3504077,185.2498263,159.3490368,140.2692235,118.1576259,169.7252516,143.463111,223.0091009,166.0007078,221.3974727,146.7640626,84.43942999,100.8755803,592.2843286,213.5250203,127.9446944,160.4083422,107.4274429,355.0020736,252.2926668,231.9249801,183.2758969,123.8340914,134.4273116,238.3144393,153.5124424,244.119495,351.1732032,317.0984168,273.2939743,222.2005768,116.5532956,220.8045434,161.2761366,490.0941371,148.0700928,260.5731213,169.4153296,132.7900894,213.0161756,172.450749,181.3618184,260.7257867,256.2686167,255.4881905,171.4008225,233.569303
1977,215.7293788,153.4976731,151.3709596,641.7811807,168.4624718,189.9407045,204.3305584,181.1798548,145.599454,120.7570937,178.7206899,144.6108159,202.9382818,157.2026703,249.7363493,188.1515282,92.54561527,93.20903616,517.6565032,220.784871,130.8874224,166.8246759,99.692667,380.9172249,276.2604701,282.4846258,186.2083113,119.4998982,137.6535671,249.9918468,163.1837263,239.4812246,373.9994614,336.4414203,277.3933839,233.0884051,125.6444527,234.052816,164.5016594,535.1827978,144.0722003,244.4175878,169.4153296,163.7301802,212.8031594,183.1426954,189.8858238,278.9765918,264.9817497,255.7436786,163.5163847,217.4530211
1978,235.5764816,157.3351149,153.338782,733.5558895,176.2117455,188.2312382,214.5470863,221.0394229,147.3466474,120.1533082,191.7673003,136.9464427,215.9263318,151.8577795,264.2210575,202.8273474,101.985268,83.79492351,393.4189424,234.6943179,142.0128533,173.8313122,112.7524064,422.4372024,295.3224425,334.1793123,195.1463102,119.6193981,133.9369208,274.2410559,160.7359704,238.2838185,388.2114409,343.8431315,273.2324832,243.3442949,142.6064538,220.4777527,179.635812,534.1124322,138.3093123,296.2341164,173.4812976,169.7881969,219.1872542,172.3372764,196.5318276,309.6640169,281.9405817,258.8126028,164.497483,211.5817895
1979,253.2447177,154.0310775,163.3058029,822.3161521,182.73158,191.4311692,217.7652926,234.3017882,143.6629812,94.44050026,217.6558858,137.4942285,237.0871123,156.5653707,280.074321,255.9681124,112.999677,90.33092754,395.3860372,231.6432917,138.462532,173.8313122,115.0074545,432.5756953,317.7669482,343.8705124,201.5861384,131.7009573,147.1966759,286.3076624,177.4525113,249.7214417,401.7988413,360.3476018,268.3142985,254.0514439,152.731512,235.4702399,201.0124737,534.1124322,147.9909642,343.0391067,181.2879559,165.2039156,227.5163698,163.7204126,202.8208461,293.561488,300.54866,241.2133458,159.5625585,218.5639885
1980,255.2706755,157.7278234,174.4105975,920.9940904,184.1934327,193.3454809,229.3068531,229.6157525,137.1981471,88.77407025,233.7624214,140.5191015,278.8144441,165.176466,308.0817531,268.2545818,126.4466385,93.94416464,405.6660741,246.2368191,139.1548446,178.3509264,96.60626178,384.9923688,335.5618973,334.5860085,193.3211068,132.491163,148.3742493,287.4528931,169.8220534,258.2119708,361.2171584,373.3201155,279.583499,265.7378103,149.3714187,245.3599899,219.1035963,528.2371954,143.1072624,328.6314643,189.9897778,158.7609628,242.5324502,166.1762188,209.5139341,336.4214652,322.7892609,233.012092,164.3494353,250.0372029
1981,262.9287957,150.7877991,191.8516572,1004.804553,192.1137503,216.9336296,248.7979356,268.8800462,135.1401749,89.66181095,242.8791558,143.8915599,327.8857863,168.4799954,319.7888597,283.8133476,143.0111482,93.94416464,426.3550439,254.3626342,134.2844251,179.4210319,114.1886014,398.4671017,348.3132494,336.9281106,189.2613635,105.9929304,133.9819471,272.2178897,172.3693842,267.2493897,382.5289707,366.9736735,293.562674,268.3951884,150.2676472,213.2178313,230.9351905,473.8287643,150.4057327,301.6836842,195.4994814,167.8103377,255.6292025,178.473259,210.5615037,325.3195569,340.5426702,242.0995636,174.5391003,281.2918532
1982,279.7562387,150.7877991,196.0723937,1127.390708,210.5566703,214.5473597,255.7642778,289.0460496,145.5459683,94.41388693,258.4234218,143.1721021,405.2668318,171.3441553,351.4479568,290.0572412,162.7466866,94.78966212,413.1380375,252.3277331,125.0187997,182.6506105,118.9845227,399.2640359,353.5379481,352.0898756,184.7190908,107.5828244,131.5702721,279.023337,159.6140497,261.1026538,403.5680641,400.0013041,273.3068495,267.3216076,152.6719296,210.8724351,235.0920239,488.517456,162.1373799,298.3651637,204.8834565,174.6905616,254.6066857,189.1816545,211.8248727,313.6080528,338.8399569,261.9517278,169.6520055,288.6054414
1983,294.8630756,157.1208867,187.6412807,1275.078891,211.1883403,222.485612,280.0618842,308.990227,133.7567449,109.2368672,270.827746,145.1765115,429.1775749,179.9113631,377.4551056,304.5601033,186.1822095,102.5624144,436.2737676,279.831456,119.267935,185.0250684,114.9390489,383.6927385,358.1339414,359.1316731,181.2094281,102.5264316,132.7544045,289.3472004,162.4871026,270.763452,405.1823364,405.6013224,230.3976741,262.5098187,145.343677,200.1179409,249.1975453,469.4652752,153.5440988,293.2929559,200.5809039,159.3177922,250.0237654,193.1544693,216.9086697,296.673218,354.7654349,276.8829763,166.2589653,293.2231285
1984,311.3754078,166.5481399,202.4649419,1383.460597,207.3869502,222.9305832,290.7042358,332.1644941,146.4636357,111.4216045,281.9316836,153.1612197,459.2200051,187.6475517,400.479867,307.6057043,211.3168078,99.69066681,468.9943002,289.6255569,129.5249774,187.6154194,125.3985024,373.3330346,364.5803524,378.8839151,177.4040301,94.01673781,135.0112294,304.9719493,161.9996413,262.0990215,424.2259062,431.559807,215.4218253,261.9847991,120.9259392,196.1155821,238.7312484,441.2973587,159.2252304,306.4911389,208.804721,165.0532327,262.7749774,183.4967458,224.2835645,313.2869182,374.9870646,276.0523274,165.7601884,287.6518891
1985,322.8962979,172.3773248,217.6498125,1481.686299,225.014841,249.236392,315.7048001,359.0698181,152.1757175,135.7115143,288.4161123,153.9270258,453.7093651,197.5928719,426.9115383,347.2868402,231.6032213,88.6250028,458.2074313,287.3085525,136.1307512,196.9961904,130.6652395,390.1330211,380.2573075,388.7348969,175.9847978,94.58083824,136.6313642,319.0006589,194.8855685,269.9619921,453.9217196,457.4533954,217.5760435,263.2947231,130.2372366,212.3931754,249.2354234,482.338013,164.479663,340.5116553,197.7380708,178.5875978,259.6216777,171.9364508,234.6006084,330.8309856,395.9863403,266.9426006,168.4123515,307.4998694
